"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Ukraine","UKR","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0075947182187","","16.0890653318374","16.1298006386468","16.1705359454561","16.2112712522655","16.2520065590748","16.2927418658842","16.3334771726935","16.3742124795029","16.4149477863122","16.4373867265038","16.4601097800946","16.4825491076052","16.5049884351158","16.5262867202872","16.5175365921016","16.5090708231923","16.5000345232341","16.4907132500173","16.4813919768004","16.5190223020093","16.5566526272181","16.594282952427","","16.6695436028447",
"Ukraine","UKR","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27322933824242","5.26825958416129","5.2697859149472","5.26213780405078","5.26086219012771","5.25665560427315","5.24493304598397","5.24530587522714","","",
"Ukraine","UKR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565","","","","","565","","","","","565","","","","","565","","","","","565","","565","",
"Ukraine","UKR","Land area (sq. km)","AG.LND.TOTL.K2","","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579350","579340","579340","579340","579380","579360","579330","579320","579320","579320","579320","579320","579320","579320","579320",
"Ukraine","UKR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","553950.875","","","","","","","","","","553950.875","","","","","","","","","","553950.875","","","","","",
"Ukraine","UKR","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32160.1582","","","","","","","","","","32160.1582","","","","","","","","","","32160.1582","","","","","",
"Ukraine","UKR","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.318146394101","153.440631187376","149.81316271665","140.990506519257","133.073307421134","122.66376469877","113.873638079007","106.289256198347","97.9302297015109","127.124504410364","124.219210914454","120.331896551724","114.033618619543","108.54554418834","106.103371756149","103.856446938398","103.30510562296","102.6938235113","","","","","","",
"Ukraine","UKR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35550383","42725008","32959900","32360000","23447846","34392600","25723788","23949891","23806500","38878700","37994800","19662400","40996700","37258000","33511140","28937800","52739900","45406000","38678600","56255900","45739700","62685950","63376820","",
"Ukraine","UKR","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.38","112.25","81.22","85.8","75.17","85.08","69.24","63.01","76.67","86.54","88.46","73.55","100.54","100.68","98.78","88.83","126.88","117.76","111.53","150.05","136.16","162.5","","",
"Ukraine","UKR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.89","129.76","106.78","107.74","97.03","97.73","83.86","82.31","88.11","93.85","95.19","86.81","96.62","102.31","101.08","94.05","114.05","116.87","106.85","123.74","126.59","138.36","","",
